1219,2003,2614,3011,3111,2311,1678,1202,895,660,505,374,274,223,207,227,282,331,422,559,669,688,712,733,716,705,819,902,908,842,806,700,580,481,467,464,469,481,533,527,506,510,524,542,601,643,710,765,761,741,710,649,620,614,579,570,579,568,544,555,603,670,748,892,1070,1312,1567,1982,2390,2816,3115,2792,2187,1534,818
1149,1903,2487,2873,2925,2124,1498,1008,671,466,365,247,164,134,130,146,201,290,400,528,605,606,573,537,475,476,564,641,681,687,674,601,522,434,398,391,378,391,419,408,387,412,397,405,447,482,521,542,542,514,486,438,437,465,475,467,495,490,454,442,464,484,572,679,846,1084,1367,1768,2157,2583,2888,2582,2015,1437,758
1026,1691,2238,2583,2636,1897,1313,831,510,303,211,136,75,58,84,120,197,326,472,595,659,639,564,467,381,364,405,455,511,549,545,522,478,441,424,442,428,437,422,376,331,348,322,319,340,366,380,396,406,386,367,339,362,414,453,476,508,484,437,426,401,401,482,594,726,957,1203,1527,1836,2205,2470,2220,1755,1257,669
944,1546,1986,2303,2325,1651,1114,708,408,221,138,79,48,48,86,153,296,467,636,760,841,763,644,511,403,318,314,337,381,461,499,531,554,549,539,559,555,529,497,414,341,323,298,291,300,316,312,337,357,357,360,374,418,498,555,592,589,541,466,445,400,399,460,544,624,809,1021,1300,1552,1909,2171,1971,1565,1147,615
917,1463,1843,2122,2129,1482,992,649,380,197,118,77,57,75,134,248,459,712,954,1131,1196,1120,941,725,548,412,310,294,339,481,584,693,753,773,740,760,762,773,729,621,528,459,381,370,373,365,339,366,394,397,422,477,558,661,754,773,755,669,566,502,449,423,450,494,531,678,855,1068,1286,1638,1887,1728,1403,1046,559
979,1562,1940,2217,2228,1523,1004,662,392,206,138,110,113,173,272,436,715,1077,1403,1627,1716,1646,1392,1086,855,633,440,390,445,577,717,872,984,1050,1085,1137,1179,1195,1106,958,822,672,552,533,516,480,470,499,526,545,605,703,797,954,1056,1094,1039,923,733,617,511,441,420,435,441,509,666,869,1127,1472,1772,1644,1355,986,533
1208,1848,2274,2589,2588,1744,1186,812,516,313,212,202,224,314,447,719,1098,1567,1991,2301,2412,2314,2005,1614,1300,967,678,595,644,752,938,1164,1321,1433,1544,1638,1715,1708,1596,1416,1183,940,801,765,722,698,706,733,793,875,1013,1158,1290,1471,1547,1532,1433,1252,984,802,637,511,440,429,401,449,602,815,1070,1430,1756,1651,1375,1002,554
1504,2298,2830,3203,3192,2173,1488,1046,705,462,334,334,371,482,676,1041,1546,2131,2672,3091,3269,3126,2740,2259,1791,1314,950,830,857,1011,1263,1570,1779,1984,2151,2293,2379,2382,2233,2006,1685,1354,1154,1051,978,956,982,1023,1157,1313,1512,1719,1927,2133,2183,2100,1917,1659,1291,1026,809,631,485,415,368,418,586,836,1129,1524,1984,1906,1598,1210,724
1724,2670,3353,3786,3792,2654,1887,1348,982,730,548,502,551,668,909,1369,1951,2598,3217,3739,3906,3785,3356,2793,2197,1670,1239,1113,1170,1317,1552,1924,2124,2399,2664,2924,3003,3054,2880,2602,2200,1832,1560,1376,1268,1245,1269,1318,1503,1749,2027,2303,2572,2816,2804,2626,2349,2015,1561,1216,937,719,540,447,412,477,649,955,1298,1788,2383,2314,1942,1489,890
1921,3024,3827,4365,4423,3158,2286,1672,1234,937,714,627,649,780,1075,1597,2242,2932,3534,4100,4316,4143,3695,3143,2463,1860,1448,1308,1365,1478,1705,2087,2326,2681,3083,3423,3564,3638,3465,3151,2704,2300,1975,1706,1549,1512,1515,1578,1786,2079,2427,2762,3093,3358,3295,3044,2686,2247,1720,1334,1006,770,598,505,478,586,769,1134,1567,2162,2863,2784,2338,1784,1060
2083,3265,4140,4756,4821,3462,2569,1912,1412,1094,834,680,697,844,1178,1742,2455,3112,3681,4253,4454,4214,3780,3262,2529,1923,1541,1398,1412,1550,1785,2172,2431,2816,3235,3655,3851,3987,3852,3511,2981,2541,2169,1871,1705,1672,1633,1676,1882,2216,2599,3000,3418,3659,3554,3243,2828,2295,1762,1387,1077,839,661,566,558,683,897,1337,1805,2495,3338,3234,2709,2122,1261
